### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
taMerchantProfile Application;cMAConfirmCardEntryMode;Tipo de confirmación puede ser por: 4 últimos dígitos Pase T arjeta Caracter 1 NO;Caracter;4;NO;
taMerchantProfile Application;cMAPinBypass;Caracter 1 NO;;;;
taMerchantProfile Application;cMAReqTar;Caracter 1 NO;;;;
taMerchantProfile Application;cMATarDef;Caracter 8 NO Diccionario de Campos V3 .0 11;;0;;
taUsuarioRol  - BD de Seguridad;cURUsuario;Código del Usuario Caracter 7 SI;;;;
taUsuarioRol  - BD de Seguridad;cURRol;Código de Rol Caracter 5 SI;;;;
taUsuarioRol  - BD de Seguridad;cURModifyUser;Código de usuario responsable de la;Caracter;7;NO;módificación Caracter 7 NO AAAAMMDD
taUsuarioRol  - BD de Seguridad;fURModifyDate;Fecha de la hUR ModifyTime Hora de módificación Caracter 6 NO Diccionario de Campos V3 .0 12;Caracter;8;NO;modificación Caracter 8 NO HHMMSS
taUsuMerchant;cMrMerchantId;Id de comercio Caracter 15 SI;;;;
taUsuMerchant;cUsuario;Código de usuario Caracter 7 SI cUMModifyUse r Usuario que modifica el registro Caracter 7 NO;Caracter;7;NO;
taUsuMerchant;fUMModifyDate;Fecha en formato YYYYMMDD cuando se modifica el registro Caracter 8 NO;Caracter;8;NO;
taUsuMerchant;hUMModifyTime;Hora en formato HHMMDD cuando se modifica el registro Caracter 6 NO;Caracter;6;NO;
tmApplication;cApApplicationID;Identificador de la aplicación Caracter 20 SI;Caracter;20;SI;
tmApplication;dApApplicationName;Nombre de la aplicación Caracter 50 NO dApAppl icationFlow Flujo operativo de la aplicación Caracter 50 NO Nombre de la carpeta que contiene los archivos;Caracter;50;NO;
tmApplication;nApApplicationFlowSize;Tamaño en bytes de la carpeta LZMA de archivos de la aplciación BingInt 64 NO;;64;NO;
tmApplication;cApModifyUser;Código de usuario de última modificación del registro Caracter 7 NO;Caracter;7;NO;
tmApplication;fApModifyDate;Fecha de última modificación;Caracter;8;NO;del registro Caracter 8 NO AAAAMMDD
tmApplication;hApModifyTime;Hors de última modificación Diccionario de Campos V3 .0 13;Caracter;6;NO;del registro Caracter 6 NO HHMMSS
tmDownloadProfile;cDPProfileID;Identificador del perfil de download BigInt 8 SI;Bigint;8;SI;
tmDownloadProfile;dDPProfileName;Nombre del perfil de;;;;
tmDownloadProfile;download;Caracter 30 SI;;;;
tmDownloadProfile;dDPDescription;Descripción del perfil de;;;;
