marguesi_desuso
00000000000006418990
00000000000002832491
00000000000002832632
00000000000004713913
00000000000002898534
00000000000002899979
00000000000003229275
00000000000001672690
00000000000001674795
00000000000001674829
00000000000001677830
00000000000001678333
00000000000001680784
00000000000001684984
00000000000001685106
00000000000001685478
00000000000001686831
00000000000002893139
00000000000002893170
00000000000002893337
00000000000002893410
00000000000002893493
00000000000002893519
00000000000002893600
00000000000002893659
00000000000002893675
00000000000002893758
00000000000002893808
00000000000002893865
00000000000002893873
00000000000002893964
00000000000002894368
00000000000002894426
00000000000002894467
00000000000002894590
00000000000002894699
00000000000002894921
00000000000002895134
00000000000002895159
00000000000002895258
00000000000002895290
00000000000002895472
00000000000002895480
00000000000002895605
00000000000002895662
00000000000002895753
00000000000002895886
00000000000002896041
00000000000002896066
00000000000002896330
00000000000002896363
00000000000002896413
00000000000002896546
00000000000002896645
00000000000002896959
00000000000002897056
00000000000002897148
00000000000002897262
00000000000002897437
00000000000002897692
00000000000002897841
00000000000002898211
00000000000002898310
00000000000002898328
00000000000002898369
00000000000002898468
00000000000002898484
00000000000002898492
00000000000002898658
00000000000002899052
00000000000002899532
00000000000002899920
00000000000002899987
00000000000003168267
00000000000003169067
00000000000003177482
00000000000003207891
00000000000003208626
00000000000003220712
00000000000003221256
00000000000003222957
00000000000003223203
00000000000003224268
00000000000003228459
00000000000003230364
00000000000003231610
00000000000003234374
00000000000003234929
00000000000003715687
00000000000003978848
00000000000004057923
00000000000004090676
00000000000004100541
00000000000005110457
00000000000005740964
00000000000006825533
00000000000006827091
00000000000006915474
00000000000003027992
00000000000009704677
