### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
tmMerchant;cMrSaldoAmountDoll;ar Saldo en dólares del cMrModifyUser Código de usuar io de última modificación del registro Caracter 7 NO fMrModifyDate Fecha de última hMrModifyTime Hora de última cMrMerchantChain Código de la cadena comerci al a la que pertenece el establecimiento BigInt 8 SI cMrDownloadProfile Perfil de download para actualizaciones remotas BigInt 8 SI cMrForceUpdate Flag indicador de inicio de download forzado en la siguiente transacción Caracter 1 NO 0: forzar actualiz ación Otro valor: no fuerza actualización cMrLogicalStatus Estado lógico de registro Caracter 1 NO 0: registro activo 1: registro eliminado cMrConfigKey Caracter 16 NO hMrBatchCloseHour Caracter 4 NO cMrFlagBatchClose Caracter 1 NO cMrEmail Addre ss Correo electrónico del comercio. Caracter 50 NO;Numeric;24,2;NO;modificación del registro Caracter 8 NO AAAAMMDD, modificación del registro Caracter 6 NO HHMMSS
tmMerchant;cMrMerchantPerfilIV;A Id de Perfil IVA asociado al comercio (usado en cMrMerchantIdAd Codigo de comercio adiciona l(usado en Ecuador) Caracter 15 NO Diccionario de Campos V3 .0 17;Bigint;8;NO;
tm MerchantChain;cMCLimitAmountDoll;hMCBatchCloseHour Caracter 4 NO cMCFlagBatchClose Caracter 1 NO Diccionario de Campos V3 .0 18;Decimal;14,2;NO;
tmTerminal;enviado;Diccionario de Campos V3 .0 22 hTrLastEchoTime Hora del último eco;Caracter;8;NO;
tmTerminal;enviado;fTrLastTrxFinDate Fecha de última transacción financiera Caracter 8 NO;Caracter;6;NO;
tmTerminal;hTrLastTrxFinTim;e Hora de última;Caracter;6;NO;
tmTerminal;fTrLastTrxAdmDa;te Fecha de última transacción;Caracter;8;NO;
tmTerminal;hTrLastTrxAdmTi;me Hora de última transacción cTrFilesVersion Versión de archivos que almacena el POS BigInt 8 NO;Caracter;6;NO;
tmTerminal;cTrDownloadStat;e Estado de actualización;Caracter;1;NO;
tmTerminal;nTrDownloadAtte;mpts Cantidad de intentos de;Caracter;3;NO;
tmTerminal;fTrLastDownload;Date Fecha de última;Caracter;8;NO;
tmTerminal;hTrLastDownload;Time Hora de última;Caracter;6;NO;
tmTerminal;cTrTerminalStatu;s Estado del terminal cTrPrinterStatus Estado de impresora Caracter 1 NO;Caracter;1;NO;
tmTerminal;cTrHopper1Statu;s Estado de hopper 1. Solo aplica para terminales autoservicio con dispensador de;Caracter;1;NO;
tmTerminal;cTrHopper2Statu;s Estado de hopper 2. Solo aplica para terminales autoservicio con dispensador de;Caracter;1;NO;
tmTerminal;cTrHopper3Statu;s Estado de hopper 3. Solo aplica para terminales Diccionario de Campos V3 .0 23 dispensador de monedas;Caracter;1;NO;
