MCC,Descripcion
3241,Aviateca (Guatemala)-AVIATECA
3242,Avensa-AVENSA
3243,Austrian Air Service-AUSTRAIR
3245,EasyJet-EASYJET
3246,Ryanair-RYANAIR
3247,GolAirlines-GOL
3248,TamAirlines-TAM
3252,ALMAntilean Airlines-ALM
3253,America West-AMERWEST
3256,Alaska Airlines Inc.-ALASKA A
3260,Spirit Airlines-SPIRIT
3261,AirChina-AIR CHINA
3263,Aero Servicio Carabobo-ASERCA
3266,AirSeychelles-AIR SEYC
3267,AirPanama Internacional-AIR PANA
3280,AirJamaica-AIR JAMA
3282,AirDjibouti-AIR DJIB
3285,Aero Peru-AEROPERU
3286,Aero Nicaraguenses-AERO NIC
3287,Aero Coach Aviation-AEROCOAC
3292,Cyprus Airways-CYPRUSA
3293,Ecuatoriana-ECUATORI
3294,Ethiopian Airlines-ETHIOPIA
3295,Kenya Airways-KENYAAIR
3296,AirBerlin-AIRBERLIN
3297,Tarom Romanian Air Transport-TAROM AIR
3298,AirMauritius-AIRMAURI
3299,Wideroes Flyveselskap-WIDEROES
3351,Affiliated Auto Rental
3352,American International
3353,Brooks Rent-A-Car
3354,Action Auto Rental
3355,SIXT Car Rental
3357,Hertz
3359,Payless Car Rental
3360,Snappy Car Rental
3361,Airways Rent-A-Car
3362,Altra Auto Rental
3364,Agency Rent-A-Car
3366,Budget Rent-A-Car
3368,Holiday Rent-A-Car
3370,Rent A Wreck
3374,Accent Rent-A-Car
3376,Ajax Rent-A-Car
3380,Triangle Rent-A-Car
3381,Europcar
3385,Tropical Rent-A-Car
3386,Showcase Rental Cars
3387,Alamo Rent-A-Car
3388,Merchants Rent-A-Car
3389,Avis Rent-A-Car
3390,Dollar Rent-A-Car
3391,Europe By Car
3393,National Car Rental
3394,Kemwell Group Rent-A-Car
3395,Thrifty Car Rental
3396,Tilden Rent-A-Car
3398,Econo Car Rent-A-Car
3400,Auto Host Car Rental
3405,Enterprise Rent-A-Car
3409,General Rent-A-Car
3412,A1Rent-A-Car
3420,ANSA International
3421,Allstate Rent-A-Car
3423,Avcar Rent-A-Car
3425,Automate Rent-A-Car
3427,Avon Rent-A-Car
3428,Carey Rent-A-Car
3429,Insurance Rent-A-Car
3430,Major Rent-A-Car
3431,Replacement Rent-A-Car
3432,Reserve Rent-A-Car
3433,Ugly Duckling Rent-A-Car
3434,USARent-A-Car
3435,Value Rent-A-Car
3436,Autohansa Rent-A-Car
3438,Interent Rent-A-Car
3439,Milleville Rent-A-Car
3441,Advantage Rent-A-Car
3501,Holiday Inns
3502,Best Western Hotels
3503,Sheraton (Sheraton Hotels)
3504,Hilton
3505,Forte Hotels
3506,Golden Tulip Hotels
3507,Friendship Inns
3508,Quality Inns
3509,Marriott
3510,Days Inns
3511,Arabella Hotels
3512,Intercontinental Hotels
3513,Westin (Westin Hotels)
3514,Amerisuites
3515,Rodeway Inns
3516,LaQuinta Inns
3517,Americana Hotels
3518,SolHotels
3519,Pullman International Hotels
3520,Meridien Hotels
3521,Royal Lahaina Resort
3522,Tokyo Hotel
3523,Peninsula Hotels
3524,WelcomGroup Hotels
3525,Dunfey Hotels
3526,Prince Hotels
3527,Downtowner Passport
3528,RedLion Inns
3529,CP(Canadian Pacific) Hotels
3530,Renaissance Hotels
3531,Kauai Coconut Beach Resort
3532,Royal Kona Resort
3533,Hotel Ibis
3534,Southern Pacific Hotel
3535,Hilton International
3536,AMFAC Hotels
3537,ANAHotels
3538,Concorde Hotels
3539,Summerfield Suites Hotel
3540,Iberotel Hotels
3541,Hotel Okura
3542,Royal Hotels
3543,Four Seasons Hotels
3544,Ciga Hotels
3545,Shangri-La International
3546,Hotel Sierra
3547,Breakers Resort
3548,Hotels Melia
3549,Auberge des Governeures
3550,Regal 8 Inns
3551,Mirage Hotel and Casino
3552,Coast Hotel
3553,Park Inns International
3554,Pinehurst Resort
3555,Treasure Island Hotel and Casino
3556,Barton Creek Resort
3557,Manhattan East Suite Hotels
3558,Jolly Hotels
3559,Candlewood Suites
3560,Aladdin Resort and Casino
3561,Golden Nugget
3562,Comfort Inns
3563,Journeyâ€™s End Motels
3564,Samâ€™s Town Hotel and Casino
3565,Relax Inns
3566,Garden Place Hotel
3567,Soho Grand Hotel
3568,Ladbroke Hotels
3569,Tribeca Grand Hotel
3570,Forum Hotels
3571,Grand Wailea Resort
3572,Miyako Hotel
3573,Sandman Hotels
3574,Venture Inn
3575,Vagabond Hotels
3576,LaQuinta Resort
3577,Mandarin Oriental Hotels
3578,Frankenmuth Bavarian
3579,Hotel Mercure
3580,Hotel Del Coronado
3581,Delta Hotels
3582,California Hotel and Casino
3583,SASHotels
3584,Princess Hotels International
3585,Hungar Hotels
3586,Sokos Hotel
3587,Doral Hotels
3588,Helmsley Hotels
3589,Doral Golf Resort
3590,Fairmont Hotels
3591,Sonesta Hotels
3592,Omni Hotels
3593,Cunard Hotels
3594,Arizona Biltmore
3595,Hospitality Inns
3596,Wynn Las Vegas
3597,Riverside Resort and Casino
3598,Regent International Hotel
3599,Pannonia Hotels
3600,Saddlebrook Resort-Tampa
3601,TradeWinds Resorts
3602,Hudson Hotel
3603,Noahâ€™s Hotel
3604,Hilton Garden Inn
3605,Jurys Doyle Hotel Group
3606,Jefferson Hotel
3607,Fontainebleau Resort
3608,Gaylord Opryland
3609,Gaylord Palms
3610,Gaylord Texan
3611,C MON INN
3612,Moevenpick Hotels
3613,Microtel Inn and Suites
3614,AmericInn
3615,Travelodge
3616,Hermitage Hotel
3617,Americaâ€™s Best Value Inn
3618,Great Wolf
3619,aloft (aloft hotels)
3620,Binionâ€™s Horseshoe Club
3621,Extended Stay
3622,Merlin Hotel Group
3623,Dorint Hotels
3624,Lady Luck Hotel and Casino
3625,Hotel Universale
3626,Studio Plus
3627,Extended Stay America
3628,Excalibur Hotel and Casino
3629,DanHotels
3630,Extended Stay Deluxe
3631,Sleep Inns
3632,ThePhoenician
3633,Rank Hotels
3634,Swissotel
3635,Reso Hotel
3636,Sarova Hotels
3637,Ramada Inns
3638,Howard Johnson
3639,Mount Charlotte Thistle
3640,Hyatt Hotels
3641,Sofitel Hotels
3642,Novotel Hotels
3643,Steigenberger Hotels
3644,EconoLodges
3645,Queens Moat Houses
3646,Swallow Hotels
3647,Husa Hotels
3648,DeVera Hotels
3649,Radisson Hotels
3650,RedRoof Inns
3651,Imperial London Hotels
3652,Embassy Hotels
3653,Penta Hotels
3654,Loews Hotels
3655,Scandic Hotels
3656,Sara Hotels
3657,Oberoi Hotels
3658,NewOtani Hotels
3659,TajHotels International
3660,Knights Inn
3661,Metropole Hotels
3662,Circus Circus Hotel and Casino
