MCC,Descripcion
8021,Dentistas
8031,Doctores Osteopatas
8041,Quiropracticos
8042,Oftalmologos
8043,Lentes
8049,Quiropodistas
8050,Establecimientos de Enfermeria
8062,Hospitales
8071,Laboratorios Dentales
8099,Profesionales de la Salud-no clasificados en otro lugar
8111,Abogados
8211,"Escuelas, Primaria y Secundaria"
8220,"Universidades, Junior Colleges y Escuelas Profesionales"
8241,"Escuelas, Correspondencia"
8244,"Escuelas, Comerciales y Secretariales"
8249,"Escuelas, Tecnicas y Vocacionales"
8299,Servicios Educacionales-no clasificados en otro lugar
8351,Servicios de Cuidado de Ni̱os
8398,Organizaciones de Beneficencia
8641,Asociaciones Civicas
8651,Organizaciones Politicas
8661,Organizaciones Religiosas
8675,Asociaciones de Automoviles
8699,Organizaciones por Membresia-no clasificadas en otro lugar
8734,Laboratorios de Pruebas (No Medicos)2
8911,Servicios de Arquitectura
8931,Servicios de Contabilidad
8999,Subastas
9211,"Costos de Corte, incluyendo Pension Alimenticia Conyugal y"
9222,Multas
9223,Pagos de Fianzas y Garantias
9311,Pago de Impuestos
9399,Servicios Gubernamentales-no clasificados en otro lugar
9402,Servicios Postales-Gobierno Solamente
9405,Compras Intragubernamentales-Gobierno Solamente
9754,"Juegos de Azar-Carreras de Caballos, Carreras de Galgos"
