cod_giro_comercio;nom_giro_comercio
5698;TIENDAS DE PELUCAS Y TUPÉS
5699;TIENDAS DE ROPA Y ACCESORIOS DIVERSOS
5712;TIENDAS DE MUEBLES, ARTÍCULOS PARA EL HOGAR Y EQUIPOS, EXCEPTO ELECTRODOMÉSTICOS
5713;TIENDAS DE REVESTIMIENTOS PARA PISOS
5714;TIENDAS DE CORTINAS, CORTINAS Y TAPICERÍA
5718;TIENDAS DE CHIMENEAS, MOSQUITERAS Y ACCESORIOS
5719;TIENDAS ESPECIALIZADAS EN ARTÍCULOS DIVERSOS PARA EL HOGAR
5722;TIENDAS DE ELECTRODOMÉSTICOS
5723;TIENDAS DE ARMAS Y MUNICIONES (VIGENTE A PARTIR DEL 1 DE JULIO DE 2024)
5732;TIENDAS DE ELECTRÓNICA
5733;TIENDAS DE MÚSICA: INSTRUMENTOS MUSICALES, PIANOS Y PARTITURAS MÚSICA
5734;TIENDAS DE SOFTWARE
5735;TIENDAS DE DISCOS
5811;SERVICIOS DE CATERING
5812;RESTAURANTES Y LUGARES PARA COMER
5813;BARES (BEBIDAS ALCOHÓLICAS): BARES, TABERNAS, CLUBES NOCTURNOS, BARES DE CÓCTELES Y DISCOTECAS
5814;RESTAURANTES DE COMIDA RÁPIDA
5815;MEDIOS DIGITALES: LIBROS, PELÍCULAS, ILUSTRACIONES/IMÁGENES DIGITALES, MÚSICA
5816;PRODUCTOS DIGITALES: JUEGOS
5817;PRODUCTOS DIGITALES: APLICACIONES (EXCLUYE JUEGOS)
5818;PRODUCTOS DIGITALES: GRANDES COMERCIOS DE PRODUCTOS DIGITALES
5912;FARMACIAS
5921;EMPAQUETADORAS: CERVEZA, VINO Y LICORES
5931;TIENDAS DE ARTÍCULOS USADOS ​​Y DE SEGUNDA MANO
5932;ANTIGÜEDADES: SERVICIOS DE VENTA, REPARACIÓN Y RESTAURACIÓN
5933;CASAS DE EMPEÑO
5935;DESGUACE Y DESGUACE
5937;REPRODUCCIONES DE ANTIGÜEDADES
5940;BICICLETAS: VENTA Y SERVICIO TÉCNICO
5941;TIENDAS DE ARTÍCULOS DEPORTIVOS
5942;LIBRERÍAS
5943;PAPELERÍAS, PAPELERÍAS Y TIENDAS DE ARTÍCULOS ESCOLARES
5944;JOYERÍAS, RELOJES Y PLATERÍAS
5945;TIENDAS DE PASATIEMPOS, JUGUETES Y TIENDAS DE VIDEOJUEGOS
5946;TIENDAS DE CÁMARAS Y SUMINISTROS FOTOGRÁFICOS
5947;TIENDAS DE REGALOS, TARJETAS, ARTÍCULOS NOVEDOSOS Y SOUVENIRS
5948;TIENDAS DE EQUIPAJE Y ARTÍCULOS DE CUERO
5949;TIENDAS DE COSTURA, BORDADOS, TELAS Y ARTÍCULOS DE COSTURA
5950;TIENDAS DE CRISTALERÍA
5960;MARKETING DIRECTO – SERVICIOS DE SEGUROS
5962;MARKETING DIRECTO – SERVICIOS DE ORGANIZACIÓN DE VIAJES
5963;VENTAS PUERTA A PUERTA
5964;MARKETING DIRECTO – COMERCIO POR CATÁLOGO
5965;MARKETING DIRECTO – COMERCIO COMBINADO DE CATÁLOGO Y MINORISTA
5966;MARKETING DIRECTO – COMERCIO DE TELEMARKETING SALIENTE
5967;MARKETING DIRECTO – COMERCIO DE TELESERVICIOS ENTRANTES
5968;MARKETING DIRECTO – COMERCIO DE CONTINUIDAD/SUSCRIPCIÓN
5969;MARKETING DIRECTO – OTROS COMERCIANTES DIRECTOS (NO CLASIFICADOS EN OTROS LUGARES)
5970;TIENDAS DE ARTÍCULOS PARA ARTISTAS Y ARTESANÍAS
5971;GALERÍAS Y MARCHANTES DE ARTE
5972;TIENDAS DE SELLOS Y MONEDAS
5973;TIENDAS DE ARTÍCULOS RELIGIOSOS
5975;AUDÍFONOS – VENTA, SERVICIO Y SUMINISTRO
5976;ARTÍCULOS ORTOPÉDICOS – DISPOSITIVOS PROTÉSICOS
5977;TIENDAS DE COSMÉTICOS
5978;TIENDAS DE MÁQUINAS DE ESCRIBIR – VENTA, ALQUILER Y SERVICIO
5983;DISTRIBUIDORES DE COMBUSTIBLE – COMBUSTIBLE, MADERA, CARBÓN Y PETRÓLEO LICUADO
5992;FLORISTERÍAS
5993;TIENDAS Y PUESTOS DE TABACO
5994;QUIOSCOS Y VENDEDORES DE PERIÓDICOS
5995;TIENDAS DE MASCOTAS, ALIMENTOS Y SUMINISTROS PARA MASCOTAS
5996;PISCINAS: VENTAS Y SERVICIO
5997;TIENDAS DE AFEITADORAS ELÉCTRICAS: VENTAS Y SERVICIO
5998;TIENDAS DE CARPAS Y TOLDOS
5999;TIENDAS MINORISTAS DE ARTÍCULOS VARIOS Y ESPECIALIZADOS
6010;INSTITUCIONES FINANCIERAS: DESEMBOLSOS MANUALES DE EFECTIVO
6011;INSTITUCIONES FINANCIERAS: DESEMBOLSOS AUTOMÁTICOS DE EFECTIVO
6012;INSTITUCIONES FINANCIERAS: MERCANCÍAS, SERVICIOS Y PAGO DE DEUDAS
6051;INSTITUCIONES NO FINANCIERAS: DIVISAS, ACTIVOS LÍQUIDOS Y CRIPTOMONEDAS (POR EJEMPLO, CRIPTOMONEDAS), GIROS POSTALES (NO TRANSFERENCIAS DE DINERO), DEPÓSITOS A CUENTAS (NO DEPÓSITOS DE VALOR ALMACENADO), CHEQUES DE VIAJERO Y PAGO DE DEUDAS
6211;CORREDORES/DISTRIBUIDORES DE VALORES
6300;VENTA, SUSCRIPCIÓN Y PRIMAS DE SEGUROS
6513;AGENTES Y ADMINISTRADORES DE BIENES RAÍCES
6540;INSTITUCIONES NO FINANCIERAS: COMPRA/RECARGA DE TARJETAS DE VALOR ALMACENADO
7011;ALOJAMIENTO: HOTELES, MOTELES, COMPLEJOS TURÍSTICOS, SERVICIOS DE RESERVAS CENTRALES (NO CLASIFICADOS EN OTROS LUGARES)
7012;TIEMPO COMPARTIDO
7032;DEPORTIVO CAMPAMENTOS RECREATIVOS
7033;PARQUES DE CARAVANAS Y CAMPAMENTOS
7210;SERVICIOS DE LAVANDERÍA, LIMPIEZA Y CONFECCIÓN DE PRENDAS DE VESTIR
7211;LAVANDERÍAS FAMILIARES Y COMERCIALES
7216;TINTORERÍAS
7217;LIMPIEZA DE ALFOMBRAS Y TAPICERÍA
7221;ESTUDIOS FOTOGRÁFICOS
7230;SALONES DE BELLEZA Y PELUQUERÍAS
7251;TALLERES DE REPARACIÓN DE CALZADO, LUSTRADO DE ZAPATOS Y LIMPIEZA DE SOMBREROS
7261;SERVICIOS FUNERARIOS Y CREMATORIOS
7273;SERVICIOS DE CITAS
7276;SERVICIOS DE PREPARACIÓN DE IMPUESTOS
7277;SERVICIOS DE ASESORAMIENTO SOBRE DEUDAS, MATRIMONIO Y ASUNTOS PERSONALES
7278;SERVICIOS Y CLUBES DE COMPRAS
7296;ALQUILER DE ROPA: DISFRACES, UNIFORMES, ROPA FORMAL
7297;SALONES DE MASAJES
7298;SPA DE SALUD Y BELLEZA
7299;SERVICIOS PERSONALES DIVERSOS (NO CLASIFICADOS EN OTROS LUGARES)
7311;SERVICIOS PUBLICITARIOS
7321;AGENCIAS DE INFORMES CREDITICIOS DEL CONSUMIDOR
7322;AGENCIAS DE COBRANZA
7333;FOTOGRAFÍA, ARTE Y DISEÑO COMERCIAL
7338;SERVICIOS DE COPIA RÁPIDA, REPRODUCCIÓN Y PLANOS
7339;ASISTENCIA TAQUIGRÁFICA Y SECRETARIAL
7342;SERVICIOS DE EXTERMINIO Y DESINFECCIÓN
7349;SERVICIOS DE LIMPIEZA, MANTENIMIENTO Y CONSERJERÍA
7361;AGENCIAS DE EMPLEO SERVICIOS DE AYUDA TEMPORAL
7372;SERVICIOS DE PROGRAMACIÓN INFORMÁTICA, PROCESAMIENTO DE DATOS Y DISEÑO DE SISTEMAS INTEGRADOS
7375;SERVICIOS DE RECUPERACIÓN DE INFORMACIÓN
7379;MANTENIMIENTO, REPARACIÓN Y SERVICIOS INFORMÁTICOS (NO CLASIFICADOS EN OTRAS CATEGORÍAS)
7392;SERVICIOS DE GESTIÓN, CONSULTORÍA Y RELACIONES PÚBLICAS
7393;AGENCIAS DE DETECTIVES, SERVICIOS DE PROTECCIÓN Y SEGURIDAD, INCLUYENDO VEHÍCULOS BLINDADOS Y PERROS GUARDIANES
7394;ALQUILER Y ARRENDAMIENTO DE EQUIPOS, HERRAMIENTAS, MUEBLES Y ELECTRODOMÉSTICOS
7395;LABORATORIOS DE FOTOACABADO Y REVELADO DE FOTOGRAFÍAS
7399;SERVICIOS EMPRESARIALES (NO CLASIFICADOS EN OTROS LUGARES)
7512;AGENCIA DE ALQUILER DE AUTOMÓVILES
7513;ALQUILER DE CAMIONES Y REMOLQUES UTILITARIOS
7519;ALQUILER DE AUTOCARAVANAS Y VEHÍCULOS RECREATIVOS
7523;ESTACIONAMIENTOS, PARQUÍMETROS Y GARAJES
7531;TALLERES DE REPARACIÓN DE CARROCERÍA
7534;TALLERES DE RECAUCHUTADO Y REPARACIÓN DE NEUMÁTICOS
7535;TALLERES DE PINTURA AUTOMOTRIZ
7538;TALLERES DE SERVICIO AUTOMOTRIZ (NO CONCESIONARIOS)
7542;LAVADO DE AUTOS
7549;SERVICIOS DE REMOLQUE
7622;TALLERES DE REPARACIÓN DE ELECTRÓNICA
7623;TALLERES DE REPARACIÓN DE AIRE ACONDICIONADO Y REFRIGERACIÓN
7629;TALLERES DE REPARACIÓN DE ELECTRODOMÉSTICOS Y APARATOS ELÉCTRICOS
7631;REPARACIÓN DE RELOJES Y JOYAS
7641;RETAPIZADO, REPARACIÓN Y ACABADO DE MUEBLES
7692;SERVICIOS DE SOLDADURA
7699;TALLERES DE REPARACIÓN DIVERSOS Y SERVICIOS RELACIONADOS
7800;LOTERÍAS ESTATALES (SOLO EN LA REGIÓN DE EE. UU.)
7801;CASINOS EN LÍNEA CON LICENCIA ESTATAL (JUEGOS DE AZAR EN LÍNEA) (SOLO EN LA REGIÓN DE EE. UU.)
7802;CARRERAS DE CABALLOS/PERROS CON LICENCIA ESTATAL (EE. UU.) (SOLO REGIÓN)
7829;PRODUCCIÓN Y DISTRIBUCIÓN DE PELÍCULAS Y CINTAS DE VIDEO
7832;CINES CINEMATOGRÁFICOS
7841;TIENDAS DE ALQUILER DE DVD/CINTAS DE VIDEO
7911;SALONES DE BAILE, ESTUDIOS Y ESCUELAS
7922;AGENCIAS DE VENTA DE ENTRADAS Y PRODUCTORES TEATRALES (EXCEPTO PELÍCULAS)
7929;BANDAS, ORQUESTAS Y ARTISTAS DIVERSOS (NO CLASIFICADOS EN OTROS LUGARES)
7932;ESTABLECIMIENTOS DE BILLAR Y POOL
7933;BOLERAS
7941;DEPORTES COMERCIALES, CLUBES DEPORTIVOS PROFESIONALES, CAMPOS DEPORTIVOS Y PROMOTORES DEPORTIVOS
7991;ATRACCIONES Y EXHIBICIONES TURÍSTICAS
7992;CAMPOS DE GOLF PÚBLICOS
7993;SUMINISTROS PARA VIDEOJUEGOS
7994;SALONES/ESTABLECIMIENTOS DE VIDEOJUEGOS
7995;APUESTAS, INCLUYENDO BILLETES DE LOTERÍA, FICHAS DE CASINO, APUESTAS FUERA DE PISTA, APUESTAS EN HIPÓDROMOS Y JUEGOS DE AZAR PARA GANAR PREMIOS MONETARIOS
7996;PARQUES DE ATRACCIONES, CIRCOS, CARNAVALES Y ADIVINOS
7997;CLUBES DE MEMBRESÍA (DEPORTIVOS, RECREATIVOS, ATLÉTICOS), CLUBES DE CAMPO Y CAMPOS DE GOLF PRIVADOS
7998;ACUARIOS, ACUARIOS MARINOS DELFINARIOS Y ZOOLÓGICOS
7999;SERVICIOS RECREATIVOS (NO CLASIFICADOS EN OTROS LUGARES)
8011;MÉDICOS Y MÉDICOS (NO CLASIFICADOS EN OTROS LUGARES)
8021;DENTISTAS Y ORTODONCISTAS
8031;OSTEÓPATAS
8041;QUIROPRÁCTICOS
8042;OPTOMETRISTAS Y OFTALMÓLOGOS
8043;ÓPTICOS, ARTÍCULOS ÓPTICOS Y GAFAS
8049;PODÓLOGOS Y PODÓLOGOS
8050;CENTROS DE ENFERMERÍA, ATENCIÓN MÉDICA DOMICILIARIA Y CUIDADO PERSONAL
8062;HOSPITALES
8071;LABORATORIOS MÉDICOS Y DENTALES
8099;SERVICIOS MÉDICOS Y PROFESIONALES DE LA SALUD (NO CLASIFICADOS EN OTROS LUGARES)
8111;SERVICIOS LEGALES Y ABOGADOS
8211;ESCUELAS PRIMARIAS Y SECUNDARIAS
8220;UNIVERSIDADES, ESCUELAS PROFESIONALES Y COLEGIOS UNIVERSITARIOS
8241;ESCUELAS POR CORRESPONDENCIA
8244;ESCUELAS DE NEGOCIOS Y SECRETARIADO
8249;ESCUELAS VOCACIONALES Y DE OFICIOS
8299;ESCUELAS Y SERVICIOS EDUCATIVOS (NO CLASIFICADOS EN OTROS LUGARES)
8351;SERVICIOS DE CUIDADO INFANTIL
8398;ORGANIZACIONES BENÉFICAS DE SERVICIO SOCIAL
8641;ASOCIACIONES CÍVICAS, SOCIALES Y FRATERNALES
8651;ORGANIZACIONES POLÍTICAS
8661;ORGANIZACIONES RELIGIOSAS
8675;ASOCIACIONES DE AUTOMOVILISTAS
8699;ORGANIZACIONES DE MEMBRESÍA (NO CLASIFICADAS EN OTROS LUGARES)
8734;LABORATORIOS DE PRUEBAS (PRUEBAS NO MÉDICAS)
8911;SERVICIOS DE ARQUITECTURA, INGENIERÍA Y TOPOGRAFÍA
8931;SERVICIOS DE CONTABILIDAD, AUDITORÍA Y TENEDURÍA DE LIBROS
8999;SERVICIOS PROFESIONALES (NO CLASIFICADOS EN OTROS LUGARES)
9211;COSTAS JUDICIALES, INCLUYENDO PENSIÓN ALIMENTICIA Y MANUTENCIÓN INFANTIL
9222;MULTAS
9223;PAGO DE FIANZAS Y BONOS
9311;PAGO DE IMPUESTOS
9399;SERVICIOS GUBERNAMENTALES (NO CLASIFICADOS EN OTROS LUGARES)
9402;SERVICIOS POSTALES - SOLO PARA EL GOBIERNO
9405;AGENCIAS O DEPARTAMENTOS DEL GOBIERNO FEDERAL DE EE. UU.
9406;LOTERÍAS GUBERNAMENTALES (REGIÓN FUERA DE EE. UU.)
9702;SERVICIOS DE EMERGENCIA (GCAS) (SOLO PARA USO CON VISA)
9950;COMPRAS INTERNAS DE LA EMPRESA
6050;INSTITUCIÓN FINANCIERA MIEMBRO DE CUASI EFECTIVO
